Id,Smiles,NCS1/Ric8 score,NCS1/D2R score
DB00396,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,-1.0867576455322336,-1.6556541415765151
DB00397,CC(N)C(O)C1=CC=CC=C1,-1.0731036597806813,-2.2500278652296855
DB00398,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,-0.7051894864407064,-1.006319541922314
DB00399,OC(CN1C=CN=C1)(P(O)(O)=O)P(O)(O)=O,-3.3317438192344877,-5.81291818215713
DB00400,COC1=CC(OC)=C(Cl)C2=C1C(=O)[C@]1(O2)[C@H](C)CC(=O)C=C1OC,-1.1222071827914872,-1.984655927503966
DB00401,COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC=C1[N+]([O-])=O)C(=O)OCC(C)C,-1.0862635879623666,-1.6923554383800536
DB00402,CN1CCN(CC1)C(=O)O[C@@H]1N(C(=O)C2=NC=CN=C12)C1=NC=C(Cl)C=C1,-1.196962250507007,-1.8032257878088318
DB00403,[H][C@](NC(=O)[C@H](CC1=CC=C(OS(O)(=O)=O)C=C1)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]1CCC(=O)N1)([C@@H](C)O)C(=O)NCC(=O)N[C@@H](CC1=CNC2=CC=CC=C12)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(N)=O,0.012931090434236514,-0.6195432878690063
DB00404,CC1=NN=C2CN=C(C3=CC=CC=C3)C3=C(C=CC(Cl)=C3)N12,-1.2856356104652296,-1.5069548732100946
DB00405,CN(C)CC[C@@H](C1=CC=C(Br)C=C1)C1=CC=CC=N1,-0.9360405411505293,-1.5531895024072786
DB00406,CN(C)C1=CC=C(C=C1)C(C1=CC=C(C=C1)N(C)C)=C1C=CC(C=C1)=[N+](C)C,-0.38605230585107936,-1.1768139371302253
DB00408,CN1CCN(CC1)C1=NC2=CC=CC=C2OC2=C1C=C(Cl)C=C2,-0.9557150597360871,-1.279931391722677
DB00409,CCN1CCC[C@H]1CNC(=O)C1=C(OC)C=CC(Br)=C1OC,-1.1425138499962515,-1.5715370017949595
DB00410,C[C@H](O)[C@H](C)[C@@H]1O[C@H]1C[C@H]1CO[C@@H](C\C(C)=C\C(=O)OCCCCCCCCC(O)=O)[C@H](O)[C@@H]1O,-0.9458268694791017,-1.9168732572267477
DB00411,C[N+](C)(C)CCOC(N)=O,-1.3179744346068554,-2.4745564188517135
DB00412,CN(CCOC1=CC=C(CC2SC(=O)NC2=O)C=C1)C1=CC=CC=N1,-1.0726285368855648,-1.5849558786439055
DB00413,CCCN[C@H]1CCC2=C(C1)SC(N)=N2,-1.4543373767731926,-2.5724231156533914
DB00414,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1,-0.8496896806692771,-1.3332932186550939
DB00415,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(O)=O,-0.942199108297822,-1.9985000322551638
DB00416,[I-].[I-].[H][C@@]12CC3=CC=C(OC4=C5C(CC[N+](C)(C)[C@]5([H])CC5=CC(OC6=C(OC)C=C(CC[N+]1(C)C)C2=C6)=C(OC)C=C5)=CC(OC)=C4OC)C=C3,-1.4331638984714057,-2.0784698339605625
DB00417,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)COC1=CC=CC=C1)C(O)=O,-1.687931015032491,-3.249212943878065
DB00418,CCCC(C)C1(CC=C)C(=O)NC(=O)NC1=O,-0.7386275810725611,-1.3300253784585734
DB00419,CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,-1.3683485465190182,-2.7344441046282855
DB00420,CN(C)CCCN1C2=CC=CC=C2SC2=CC=CC=C12,-1.8954878216718025,-3.0102247514943774
DB00421,[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@]([H])(CC2=CC(=O)CC[C@]12C)SC(C)=O,-1.0490878928067717,-1.6406312872722268
DB00422,COC(=O)C(C1CCCCN1)C1=CC=CC=C1,-1.8295368426149863,-3.029931505887534
DB00423,COC1=C(OCC(O)COC(N)=O)C=CC=C1,-1.3020067879019332,-2.148173543531359
DB00424,CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)[C@H](CO)C1=CC=CC=C1,-1.6159705141560683,-2.3492494311406578
DB00425,CN(C)C(=O)CC1=C(N=C2C=CC(C)=CN12)C1=CC=C(C)C=C1,-0.7089342690871507,-0.8604506836747132
DB00426,CC(=O)OCC(CCN1C=NC2=CN=C(N)N=C12)COC(C)=O,-1.1039357074595193,-1.4326278921249482
DB00427,CC1=CC=C(C=C1)C(=C/CN1CCCC1)\C1=CC=CC=N1,-0.8421842394834996,-1.167191146920176
DB00428,CN(N=O)C(=O)N[C@H]1[C@@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O,-1.3935328392089847,-2.5500753389511335
DB00429,NC(CO)(CO)CO.CCCCC[C@](C)(O)\C=C\[C@H]1[C@H](O)C[C@H](O)[C@@H]1C\C=C/CCCC(O)=O,-0.8668506845648882,-1.4164720615176527
DB00430,[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@@]2([H])NC(=O)[C@H](NC(=O)C1=C(O)C=C(C)N=C1)C1=CC=C(O)C=C1)C(O)=O,-1.2411073506370711,-2.0763634224041763
DB00431,Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl,-5.223866335543393,-3.713336507264634
DB00432,OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(C(=O)NC1=O)C(F)(F)F,-1.0609702878464142,-1.3824178057215646
DB00433,CN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(Cl)C=C3)CC1,-1.8786369908359306,-2.678153338234043
DB00434,CN1CCC(CC1)=C1C2=CC=CC=C2C=CC2=CC=CC=C12,-1.1987722879490472,-1.5294834685048833
